timestamp,cell_voltage,cell_current,panel_voltage,panel_current,panel_power,cell_temp,panel_temp,battery_soc
1777011627.454,1.4862,0.9994,0.0306,-0.0149,0.043,17.83,22.27,0.7747
1777012227.454,1.4911,1.0041,15.2962,0.0026,0.333,19.03,23.17,0.7567
1777012827.454,1.4911,1.005,15.8145,0.0374,0.819,20.09,24.11,0.7495
1777013427.454,1.4871,1.0038,16.076,0.0731,1.304,21.56,25.57,0.7443
1777014027.454,1.4909,1.0062,16.1929,0.1195,1.609,22.88,27.02,0.7477
1777014627.454,1.4832,0.999,16.2234,0.1167,1.896,23.79,27.93,0.7507
1777015227.454,1.4882,1.0059,16.3733,0.1477,2.383,24.8,29.61,0.7632
1777015827.454,1.4905,0.9957,16.4384,0.1613,2.874,26.42,30.26,0.7848
1777016427.454,1.4781,0.9821,16.4424,0.2133,3.319,27.54,31.24,0.8115
1777017027.454,1.4969,0.9892,16.4437,0.2197,3.657,28.7,32.5,0.8384
1777017627.454,1.4882,1.0002,16.4483,0.2667,3.987,29.86,33.65,0.8767
1777018227.454,1.4863,0.9927,16.4923,0.2531,4.596,30.93,34.75,0.92
1777018827.454,1.4809,1.0038,15.9531,0.1378,2.366,31.95,35.91,0.9279
1777019427.454,1.4879,0.9847,16.477,0.312,5.137,32.78,37.23,0.95
1777020027.454,1.4841,0.9933,16.3969,0.3045,5.102,33.92,37.79,0.9525
1777020627.454,1.4901,1.0091,16.3871,0.3572,5.544,34.73,39.59,0.9509
1777021227.454,1.4887,0.9929,16.3826,0.3763,5.907,35.92,40.22,0.952
1777021827.454,1.4876,0.9989,16.376,0.3721,6.367,36.89,41.01,0.9495
1777022427.454,1.4841,1.0063,16.2972,0.3758,6.284,37.61,41.9,0.9508
1777023027.454,1.4837,1.0131,16.2912,0.3888,6.617,38.54,42.57,0.9459
1777023627.454,1.4831,0.9923,16.2934,0.454,7.221,39.2,43.58,0.9477
1777024227.454,1.4885,1.0131,16.2782,0.4317,7.217,39.98,44.26,0.9487
